x_ang,y_ang,z_ang
2.001999999999999780e+00,4.139800000000000324e+01,1.798900000000000077e+01
4.892999999999999794e+00,1.969000000000000083e+00,1.801000000000000156e+01
2.762999999999999901e+00,3.338999999999999968e+00,1.782600000000000051e+01
4.216999999999999638e+00,3.294000000000000039e+00,1.777400000000000091e+01
6.365000000000000213e+00,1.975999999999999979e+00,1.831099999999999994e+01
9.364000000000000767e+00,2.125999999999999890e+00,1.849500000000000099e+01
7.120000000000000107e+00,3.213999999999999968e+00,1.795100000000000051e+01
8.580999999999999517e+00,3.314000000000000057e+00,1.808699999999999974e+01
1.081499999999999950e+01,2.095000000000000195e+00,1.853500000000000014e+01
1.368999999999999950e+01,4.144200000000000017e+01,1.849299999999999855e+01
1.153700000000000081e+01,3.289000000000000146e+00,1.798999999999999844e+01
1.294599999999999973e+01,3.318000000000000060e+00,1.798499999999999943e+01
1.521899999999999942e+01,4.137500000000000000e+01,1.836100000000000065e+01
1.808899999999999864e+01,4.142499999999999716e+01,1.851200000000000045e+01
1.597600000000000087e+01,3.225000000000000089e+00,1.815399999999999991e+01
1.736100000000000065e+01,3.282999999999999918e+00,1.814799999999999969e+01
1.949500000000000099e+01,4.137700000000000244e+01,1.842599999999999838e+01
2.251000000000000156e+01,4.136099999999999710e+01,1.834900000000000020e+01
2.025499999999999901e+01,3.262999999999999901e+00,1.814000000000000057e+01
2.175900000000000034e+01,3.299999999999999822e+00,1.814499999999999957e+01
2.393299999999999983e+01,4.132300000000000040e+01,1.819800000000000040e+01
2.683999999999999986e+01,4.126299999999999812e+01,1.795599999999999952e+01
2.469000000000000128e+01,3.210999999999999854e+00,1.814799999999999969e+01
2.611899999999999977e+01,3.193000000000000060e+00,1.806400000000000006e+01
2.831299999999999883e+01,4.129299999999999926e+01,1.791600000000000037e+01
3.123999999999999844e+01,4.126700000000000301e+01,1.770299999999999940e+01
2.909499999999999886e+01,3.233000000000000096e+00,1.785699999999999932e+01
3.055799999999999983e+01,3.233000000000000096e+00,1.779799999999999827e+01
3.273400000000000176e+01,4.127600000000000335e+01,1.794999999999999929e+01
3.570799999999999841e+01,4.127799999999999869e+01,1.788899999999999935e+01
3.342699999999999960e+01,3.217999999999999972e+00,1.778200000000000003e+01
3.498400000000000176e+01,3.186999999999999833e+00,1.765899999999999892e+01
3.725300000000000011e+01,2.012000000000000011e+00,1.796099999999999852e+01
4.016400000000000148e+01,4.136200000000000188e+01,1.812800000000000011e+01
3.788700000000000045e+01,3.220000000000000195e+00,1.816000000000000014e+01
3.942600000000000193e+01,3.222999999999999865e+00,1.815200000000000102e+01
4.161500000000000199e+01,4.137299999999999756e+01,1.804200000000000159e+01
4.450000000000000000e+01,4.134400000000000119e+01,1.778000000000000114e+01
4.238700000000000045e+01,3.258999999999999897e+00,1.803900000000000148e+01
4.380100000000000193e+01,3.258999999999999897e+00,1.788299999999999912e+01
2.043000000000000149e+00,4.607000000000000206e+00,1.772299999999999898e+01
5.001999999999999780e+00,4.554000000000000270e+00,1.780099999999999838e+01
2.706999999999999851e+00,5.812000000000000277e+00,1.767200000000000060e+01
4.203999999999999737e+00,5.860000000000000320e+00,1.759100000000000108e+01
6.459999999999999964e+00,4.511000000000000121e+00,1.783999999999999986e+01
9.343999999999999417e+00,4.568999999999999950e+00,1.781299999999999883e+01
7.197000000000000064e+00,5.802999999999999936e+00,1.766799999999999926e+01
8.662000000000000810e+00,5.852000000000000313e+00,1.792699999999999960e+01
1.081499999999999950e+01,4.600999999999999979e+00,1.770599999999999952e+01
1.368200000000000038e+01,4.610000000000000320e+00,1.799099999999999966e+01
1.151399999999999935e+01,5.810999999999999943e+00,1.766799999999999926e+01
1.298000000000000043e+01,5.849999999999999645e+00,1.774800000000000111e+01
1.519800000000000040e+01,4.543000000000000149e+00,1.811100000000000065e+01
